0,Run,Distance,Length,Counts
308,308,1.8312425409353181,2.9861646152344035,15
309,309,2.6859300283666263,3.8564440792411316,15
310,310,2.1112175495777055,3.5162912013616188,10
311,311,1.6297885544058186,2.4899538456861836,2
312,312,2.6328107942320127,4.001170381911605,10
313,313,2.488096793416314,3.5441125430500735,20
314,314,1.9832595179311143,3.672364963095938,18
315,315,1.4415877998293873,1.6453764629187233,8
316,316,2.5357045003372534,2.944362051060798,14
317,317,2.4840982326175642,2.877211682904542,3
318,318,2.0697357580053186,2.4124318183841718,8
319,319,2.541121902955648,3.018759879405883,11
320,320,2.0371789547821777,2.678680938124408,11
321,321,1.7637197898575863,127.99305750807814,30
322,322,3.634706799624929,154.93889224123518,15
323,323,1.8147292551746232,3.4558665666292363,7
324,324,2.5016590974613737,3.5735106521872733,6
325,325,1.9034803267340725,3.0270400200785024,11
326,326,2.602411036112174,2.905175338181175,18
327,327,1.1447421274688199,149.09040200763567,20
328,328,2.92020767116237,3.243577655930908,8
329,329,2.3359385579002647,3.015165867694471,14
330,330,2.122913314773535,3.109478047065393,11
331,331,2.4966818987935455,2.9870079463258663,16
332,332,3.0549001043202937,163.7912800332937,17
333,333,2.6083073344813346,3.1771247309790858,11
334,334,3.0006344044185123,156.73136159299008,26
335,335,1.7386281146995537,2.7225223739652655,8
336,336,2.090799577758709,2.9485714708702933,16
337,337,2.859314808111917,3.4989059823939033,9
338,338,2.630887903112036,3.6789639132010494,14
339,339,1.7849143182190825,116.87165064932138,19
340,340,3.051041113899911,3.868037147992935,13
341,341,2.5528566700775923,3.4206656413794074,13
342,342,2.541831110886128,338.0023746350758,27
343,343,2.7164903207226883,3.2891021699442144,7
344,344,2.2365475658905596,3.3113823470151043,16
345,345,2.191333690499638,3.4232745622799867,2
346,346,1.7473622195021719,3.8758886104890005,11
347,347,2.60345073349413,3.2674581922557078,21
348,348,2.01209887066158,3.2140981481525914,13
349,349,3.017381615980752,3.355107766566333,10
350,350,1.8789171543451195,3.9157170837013755,17
351,351,2.5111762416439536,3.517424453186958,17
352,352,2.42906326022049,3.74425215537291,19
353,353,1.7390219233340596,3.7831364082535868,9
354,354,3.157368939388597,3.6825321134862956,11
355,355,1.838662992350924,116.44010573238658,18
356,356,3.798413885159257,183.86665431408963,24
357,357,1.462776267824349,3.5513109897139143,7
358,358,1.8860860824380763,3.4710796359000127,4
359,359,3.2481109220625464,3.632085514688496,9
360,360,2.2140506157382416,3.6207804599140654,12
361,361,3.047845920768584,3.966892324078027,23
362,362,2.6097887462542215,3.619536845606225,14
363,363,3.013650831190682,3.812433986749179,14
364,364,2.0565720117268382,3.1734010291856136,8
365,365,1.9046038275245178,3.7506658797275785,14
366,366,2.2501989973483423,3.3408308469604635,11
367,367,2.7635615964398634,3.5808727038383434,12
368,368,2.976973764209105,3.512077243580081,7
369,369,2.7623820777297445,3.4306689453602446,7
370,370,1.1432599694191177,2.5128751323072938,5
371,371,2.1253185614228127,3.6537967258057957,8
372,372,1.901397223711741,3.2116171157205082,14
373,373,2.206338505737333,3.600638529298503,7
374,374,2.2761200283126555,3.312940284669606,8
375,375,2.844212087196032,3.7168767800479476,18
376,376,2.642217717281497,2.8295428987592777,5
377,377,2.4613285440070274,3.5316736170878,20
378,378,2.951720022942047,3.5131442757379165,10
379,379,2.0715428606266117,3.1292346113186515,6
380,380,2.1072016602519006,3.938726398213844,13
381,381,2.86042624318159,145.65739769783985,8
382,382,2.523918736576964,3.850744483929521,11
383,383,2.235203400901667,2.727316458550254,6
384,384,2.9866068286523797,3.5121928474793203,21
385,385,2.5966884804910193,251.1974874344069,21
386,386,3.125776991900895,144.8057749752638,25
387,387,1.948752194479708,2.741642292876005,6
